,T1079,T1136,T1192,T1208,T1403,T1621,T58,T632,T700,T867,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,0,0,0,0,0,0,0.0,0.030894667404569857,21
1,0,1,0,0,0,0,0,0,0,0,0.0,0.0319733449797938,20
2,0,0,1,0,0,0,0,0,0,0,0.0,0.034176330020011525,21
3,0,0,0,1,0,0,0,0,0,0,0.0,0.03688514967867968,8
4,0,0,0,0,0,0,0,0,0,1,0.0,0.037126945119628135,1
5,0,0,0,0,0,1,0,0,0,0,0.0,0.03831804877288955,4
6,1,1,0,0,0,0,0,0,0,0,0.0,0.039272476939091874,2
7,0,0,0,0,0,0,0,0,0,0,0.0,0.03943331171907774,3
8,0,0,0,0,0,0,0,1,0,0,0.0,0.04002751527547644,1
9,1,0,0,0,0,0,0,0,0,1,0.0,0.040028426035517234,1
10,0,1,0,0,0,0,0,0,0,1,0.0,0.041030795677239135,1
11,1,0,1,0,0,0,0,0,0,0,0.0,0.041208077936174904,1
12,1,0,0,0,0,1,0,0,0,0,0.0,0.04121211944229886,2
13,0,0,0,0,0,0,0,0,1,0,0.0,0.04169859590141515,2
14,0,1,1,0,0,0,0,0,0,0,0.0,0.04214319190520868,1
15,0,1,0,0,0,1,0,0,0,0,0.0,0.04223544695615642,2
16,1,0,0,1,0,0,0,0,0,0,0.0,0.04334805742967735,1
17,1,0,0,0,0,0,0,0,1,0,0.0,0.04350517696071163,1
18,0,0,1,0,0,1,0,0,0,0,0.0,0.04440621383490878,1
19,0,1,0,0,1,0,0,0,0,0,0.0,0.044473337708584346,1
20,0,0,0,0,0,1,0,0,0,1,0.0,0.04518851625011063,1
21,0,0,0,1,0,1,0,0,0,0,0.0,0.046937711156129866,1
22,0,0,1,0,0,0,1,0,0,0,0.1,0.04716491151174007,1
23,0,1,1,0,0,0,0,0,0,0,0.1,0.04214319190520868,1
24,0,1,0,1,0,0,0,0,0,0,0.1,0.0443335691268517,1
