,T1,T22,T26,T45,T48,T6,T61,T62,T75,T87,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,1,0,0,0.0,0.017991336586139862,43
1,0,0,1,0,0,0,0,0,0,0,0.0,0.025033826828594587,8
2,0,0,0,0,0,0,0,0,1,0,0.0,0.026298776385026076,9
3,0,0,0,0,0,0,1,1,0,0,0.0,0.026871857541774968,2
4,0,0,0,0,0,0,0,0,0,0,0.0,0.026946029901797376,5
5,0,0,0,0,0,0,1,0,0,0,0.0,0.027029230826971687,5
6,0,0,0,0,0,0,0,1,1,0,0.0,0.027166886081075287,3
7,0,0,0,1,0,0,0,0,0,0,0.0,0.027472044879763187,5
8,1,0,0,0,0,0,0,0,0,0,0.0,0.028487836702166733,1
9,0,0,0,1,0,0,0,1,0,0,0.0,0.028569305086847376,2
10,0,0,0,0,1,0,0,0,0,0,0.0,0.0285932048836845,6
11,0,1,0,0,0,0,0,0,0,0,0.0,0.028671895495435352,2
12,0,0,0,0,0,1,0,0,0,0,0.0,0.0289341886263454,2
13,0,0,1,0,0,0,0,1,0,0,0.0,0.03053216221806337,1
14,0,0,1,0,0,0,0,0,1,0,0.0,0.03291276520315209,1
15,1,0,1,0,0,0,0,0,0,0,0.0,0.03359636150481034,1
16,1,0,0,0,0,0,0,0,1,0,0.0,0.03468427593558218,1
17,0,0,0,1,0,0,1,0,0,0,0.0,0.034740460729515824,1
18,0,0,0,0,1,0,0,0,1,0,0.0,0.03580065826652949,1
19,0,0,0,0,0,0,0,1,1,0,0.1,0.027166886081075287,1
