,T18,T22,T26,T27,T46,T50,T69,T74,T75,T83,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,0.016466112075055057,14
1,0,0,0,0,0,0,1,0,0,0,0.0,0.016511875553648157,12
2,0,0,1,0,0,0,0,0,0,0,0.0,0.01656117650670163,3
3,0,0,0,0,0,0,0,1,0,0,0.0,0.01676489696997004,8
4,0,0,0,0,0,0,0,0,1,0,0.0,0.01680231788124544,24
5,1,0,0,0,0,0,0,0,0,0,0.0,0.017291068622346882,9
6,0,0,0,0,0,1,0,0,0,0,0.0,0.01770178840900611,4
7,0,0,0,0,1,0,0,0,0,0,0.0,0.01785886630565271,11
8,0,0,0,1,0,0,0,0,0,0,0.0,0.01799893372361408,6
9,0,1,0,0,0,0,0,0,0,0,0.0,0.01932088483219069,2
10,1,0,0,0,0,0,0,0,1,0,0.0,0.02497208479194405,1
11,0,0,1,0,0,1,0,0,0,0,0.0,0.0253168785580472,1
12,0,0,0,0,1,0,0,1,0,0,0.0,0.02554018265456113,1
13,0,0,0,0,1,0,0,0,1,0,0.0,0.02563675992511424,2
14,0,0,0,0,0,0,0,0,1,0,0.1,0.01680231788124544,1
15,0,1,0,0,0,0,0,0,1,0,0.0,0.02807115827839706,1
