,index,time,rate
0,10,19658.0,0.1825613079019073
1,19,2355.0,0.1888888888888888
2,28,4465.0,0.2317073170731707
3,34,36002.0,0.228125
4,62,54721.0,1.0
5,77,15493.0,0.7272727272727273
6,79,5035.0,0.2458333333333333
7,80,29406.0,0.7043010752688172
8,84,126187.0,1.0
9,86,78821.0,0.6428571428571429
10,23,18615.0,0.192200557103064
11,25,42023.0,0.2171428571428571
12,47,28828.0,0.2347266881028939
13,50,4175.0,0.1480263157894736
14,54,6719.0,0.1766666666666666
15,63,10485.0,0.0131578947368421
16,73,41660.0,0.2315436241610738
17,8,21643.0,0.1989247311827957
18,82,44878.0,0.2784810126582278
