,T142,T157,T177,T178,T199,T219,T224,T253,T83,T97,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,6.232801077000962e-05,42
1,0,0,0,0,0,1,0,0,0,0,0.0,0.0033933441052783958,3
2,0,0,0,0,0,0,1,0,0,0,0.0,0.003446761419053327,9
3,0,0,0,0,1,0,0,0,0,0,0.0,0.003460713969575817,5
4,0,0,0,0,0,0,0,1,0,0,0.0,0.003464760412354802,8
5,0,1,0,0,0,0,0,0,0,0,0.0,0.0036583518465258614,8
6,0,0,0,0,0,0,0,0,0,1,0.0,0.003922477431476365,8
7,0,0,0,1,0,0,0,0,0,0,0.0,0.004371825652178157,9
8,0,0,0,0,0,0,0,0,1,0,0.0,0.006521688299679443,2
9,0,0,1,0,0,0,0,0,0,0,0.0,0.006669568188162399,3
10,0,0,0,0,0,0,0,1,0,1,0.0,0.014380472646102184,1
11,0,0,0,1,0,0,1,0,0,0,0.0,0.014881562890994817,1
12,0,0,1,0,0,1,0,0,0,0,0.0,0.01672651498313038,1
