,T15,T19,T23,T35,T37,T41,T51,T59,T61,T83,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,0.009622751079879505,25
1,0,1,0,0,0,0,0,0,0,0,0.0,0.010942651130771305,4
2,0,0,0,0,0,0,0,1,0,0,0.0,0.011070442970752041,6
3,0,0,0,0,0,0,0,0,1,0,0.0,0.011094227296420985,12
4,1,0,0,0,0,0,0,0,0,0,0.0,0.011217892193179833,13
5,0,0,1,0,0,0,0,0,0,0,0.0,0.011352084865088593,6
6,0,0,0,0,1,0,0,0,0,0,0.0,0.01154144043814914,13
7,0,0,0,1,0,0,0,0,0,0,0.0,0.012067955578978525,4
8,0,0,0,0,0,1,0,0,0,0,0.0,0.012290961955659242,8
9,0,0,0,0,0,0,1,0,0,0,0.0,0.012912003310675269,6
10,0,0,0,0,0,0,0,0,0,0,0.1,0.009622751079879505,1
11,0,0,0,0,1,0,0,0,0,0,0.1,0.01154144043814914,1
12,0,0,0,0,0,0,1,1,0,0,0.0,0.021909113937235818,1
