,T14,T19,T33,T40,T48,T51,T7,T77,T85,T86,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,1,0,0,0.0,0.01455716904527461,59
1,0,0,0,0,0,0,0,0,0,1,0.0,0.017174240694779658,20
2,0,0,0,0,0,0,0,1,0,1,0.0,0.02035830087153445,3
3,0,0,0,0,0,0,0,0,0,0,0.0,0.021796017459861025,1
4,0,1,0,0,0,0,0,0,0,0,0.0,0.022029669785486632,1
5,1,0,0,0,0,0,0,0,0,0,0.0,0.02252410138894649,2
6,0,0,0,0,0,0,1,0,0,0,0.0,0.02274125334713898,2
7,0,0,0,0,1,0,0,0,0,0,0.0,0.022859221953140975,2
8,0,0,0,0,0,1,0,0,0,0,0.0,0.02299335398667526,2
9,1,0,0,0,0,0,0,1,0,0,0.0,0.023227794263809894,1
10,0,0,0,0,1,0,0,1,0,0,0.0,0.0232920654186439,1
11,0,0,0,0,0,0,1,1,0,0,0.0,0.02340463332806791,1
12,0,0,0,1,0,0,0,1,0,0,0.0,0.02355157022149542,2
13,0,1,0,0,0,0,0,0,0,1,0.0,0.024981268676505946,1
14,0,0,0,0,0,0,0,0,1,0,0.0,0.027694689734816223,1
15,0,1,0,0,1,0,0,0,0,0,0.0,0.029992526799084283,1
