,T1325,T1599,T1625,T2,T284,T289,T403,T516,T700,T86,chain_break_fraction,energy,num_occurrences
0,0,0,1,0,0,0,0,0,0,0,0.0,0.025187354653062675,26
1,0,1,0,0,0,0,0,0,0,0,0.0,0.02609327040418266,28
2,1,0,0,0,0,0,0,0,0,0,0.0,0.027746030252223046,10
3,1,1,0,0,0,0,0,0,0,0,0.0,0.02888319430159375,9
4,1,0,1,0,0,0,0,0,0,0,0.0,0.029057112560718266,1
5,0,1,1,0,0,0,0,0,0,0,0.0,0.03084674427502302,1
6,0,1,0,0,0,0,0,0,0,0,0.1,0.02609327040418266,2
7,1,0,0,0,1,0,0,0,0,0,0.0,0.032224379682224163,2
8,0,0,1,1,0,0,0,0,0,0,0.0,0.0328070756464153,6
9,0,0,0,0,0,0,0,1,0,0,0.0,0.03298857854153106,1
10,0,0,0,1,0,0,0,0,0,0,0.0,0.03331659221677898,1
11,0,1,0,0,0,1,0,0,0,0,0.1,0.03495511717316515,2
12,0,0,1,0,0,0,0,0,0,1,0.0,0.033961605652275205,1
13,0,1,0,0,0,0,1,0,0,0,0.0,0.033985233178914824,2
14,0,0,0,0,0,0,0,0,0,0,0.0,0.034204079503252015,1
15,1,0,0,1,0,0,0,0,0,0,0.0,0.03429712148668991,2
16,0,1,0,0,0,0,0,0,0,1,0.0,0.034385047022008945,2
17,0,0,1,0,0,0,0,0,1,0,0.0,0.034530580182566065,1
18,1,0,0,0,0,1,0,0,0,0,0.0,0.03625443916657558,1
19,1,0,1,0,0,0,0,0,0,0,0.1,0.029057112560718266,1
