,T1177,T1252,T1277,T1633,T248,T386,T468,T821,T912,T917,chain_break_fraction,energy,num_occurrences
0,0,0,1,0,1,0,0,0,0,0,0.0,0.05148953095560832,31
1,0,0,1,0,1,0,0,0,1,0,0.0,0.053932757963873076,41
2,1,0,1,0,1,0,0,0,0,0,0.0,0.05751164353959859,5
3,0,0,0,0,1,0,0,0,1,0,0.0,0.058183380576305774,4
4,0,0,1,0,0,0,0,0,1,0,0.0,0.05819633923564239,2
5,0,1,1,0,1,0,0,0,0,0,0.0,0.05910918686770242,1
6,0,0,1,0,1,1,0,0,0,0,0.0,0.05966203503945723,3
7,0,0,1,0,1,0,1,0,0,0,0.0,0.06014686730847923,1
8,1,0,0,0,1,0,0,0,1,0,0.0,0.06318670955157495,3
9,1,0,1,0,0,0,0,0,1,0,0.0,0.06321140275938454,2
10,0,0,1,0,1,0,0,0,0,1,0.0,0.06347834939944662,1
11,1,0,1,0,1,0,0,0,0,0,0.1,0.05751164353959859,1
12,0,1,0,0,1,0,0,0,1,0,0.0,0.06496387819312996,3
13,0,0,1,0,0,1,0,0,1,0,0.0,0.06559035697964935,1
14,0,0,0,1,1,0,0,0,1,0,0.0,0.06889597400587252,1
