,T1112,T1134,T1296,T1541,T1608,T279,T414,T71,T785,T812,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0,0,0,0,0.0,0.03884523388225778,18
1,1,0,1,0,0,0,0,0,0,0,0.0,0.038846688462557066,18
2,0,0,1,0,0,0,0,0,0,0,0.0,0.039353159766882966,9
3,0,0,1,0,1,0,0,0,0,0,0.0,0.04098768630801917,8
4,0,0,1,0,0,0,0,0,0,1,0.0,0.041222504472809576,7
5,0,0,1,0,0,1,0,0,0,0,0.0,0.04146862668016385,6
6,0,0,1,0,0,0,0,1,0,0,0.0,0.04152182166106739,5
7,0,0,1,0,0,0,1,0,0,0,0.0,0.044750020701615406,1
8,1,1,0,0,0,0,0,0,0,0,0.0,0.044755827740653856,3
9,0,0,1,0,0,0,0,0,1,0,0.0,0.04607628771633427,2
10,0,1,0,0,0,0,0,0,0,0,0.0,0.046271776875784786,1
11,1,0,0,0,0,0,0,0,0,0,0.0,0.04627263504048368,1
12,0,1,0,0,1,0,0,0,0,0,0.0,0.04712183072905006,2
13,1,0,0,0,1,0,0,0,0,0,0.0,0.04712342375637463,3
14,0,1,0,0,0,0,0,0,0,1,0.0,0.04737149799988165,1
15,0,1,0,0,0,1,0,0,0,0,0.0,0.04764277771603575,2
16,0,0,1,1,0,0,0,0,0,0,0.0,0.04819860351196812,2
17,0,0,0,0,0,1,0,0,0,0,0.0,0.04977004197095942,1
18,0,0,0,0,0,0,0,1,0,0,0.0,0.04983405916612672,2
19,0,0,0,0,1,1,0,0,0,0,0.0,0.05013694026414667,1
20,0,0,1,0,1,1,0,0,0,0,0.0,0.050929176441794635,1
21,1,0,0,0,0,0,0,0,1,0,0.0,0.052711217860890155,1
22,1,0,0,1,0,0,0,0,0,0,0.0,0.054962531646993704,1
23,1,0,0,0,1,0,0,0,0,1,0.0,0.05608730286801593,1
24,1,0,0,0,0,1,0,0,0,1,0.0,0.05649546262077522,1
25,0,0,1,0,0,1,1,0,0,0,0.1,0.05415905477679492,1
26,1,0,0,1,0,0,0,1,0,0,0.0,0.06431050779752633,1
