,T126,T15,T178,T18,T218,T22,T235,T76,T88,T90,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,6.690543928906184e-06,46
1,1,0,0,0,0,0,0,0,0,0,0.0,0.003339159161414376,6
2,0,0,0,0,1,0,0,0,0,0,0.0,0.0033393683394089607,2
3,0,0,0,1,0,0,0,0,0,0,0.0,0.0033853416750399923,5
4,0,0,0,0,0,0,0,1,0,0,0.0,0.0034208598655575983,5
5,0,0,0,0,0,0,0,0,1,0,0.0,0.003637268137774559,5
6,0,0,0,0,0,1,0,0,0,0,0.0,0.0036599401623740274,8
7,0,0,0,0,0,0,0,0,0,1,0.0,0.0036692665878235776,3
8,0,1,0,0,0,0,0,0,0,0,0.0,0.0037256903547249636,9
9,0,0,1,0,0,0,0,0,0,0,0.0,0.0039991739521643924,1
10,0,0,0,0,0,0,1,0,0,0,0.0,0.006670562198627099,1
11,0,0,0,0,0,1,0,0,0,0,0.1,0.0036599401623740274,1
12,0,0,0,0,0,0,0,1,0,0,0.1,0.0034208598655575983,1
13,1,0,0,0,0,0,0,0,0,0,0.1,0.003339159161414376,1
14,1,0,0,0,0,0,0,0,0,1,0.0,0.013681459162964808,1
15,0,0,0,0,1,0,0,0,0,1,0.0,0.01368332616934842,1
16,1,0,1,0,0,0,0,0,0,0,0.0,0.014016902660316364,1
17,0,1,0,1,0,0,0,0,0,0,0.0,0.014038250531770137,2
18,0,0,1,1,0,0,0,0,0,0,0.0,0.01439396079346656,1
