,T0,T14,T156,T158,T241,T248,T43,T63,T77,T89,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,3.1369129178802824e-05,48
1,0,0,0,0,0,0,0,1,0,0,0.0,0.003362848718275602,9
2,0,0,0,0,1,0,0,0,0,0,0.0,0.0033742723664409477,5
3,1,0,0,0,0,0,0,0,0,0,0.0,0.003376394546325104,6
4,0,0,0,0,0,0,0,0,1,0,0.0,0.0033764066650285775,10
5,0,0,0,0,0,0,0,0,0,1,0.0,0.0034177200052326485,6
6,0,0,0,1,0,0,0,0,0,0,0.0,0.0035494812288223952,9
7,0,0,0,0,0,1,0,0,0,0,0.0,0.0038745477715738425,3
8,0,0,1,0,0,0,0,0,0,0,0.0,0.005865682263689618,1
9,0,0,1,0,0,0,0,0,0,0,0.1,0.005865682263689618,1
10,1,0,0,0,0,0,0,0,1,0,0.0,0.013414342739916766,2
