,T1131,T1384,T1498,T1522,T1636,T229,T242,T499,T677,T759,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,0,0,0,0,0,0,0.0,0.01401212540760121,45
1,0,1,0,0,0,0,0,0,0,0,0.0,0.017604847319606123,12
2,0,0,0,0,0,0,0,0,0,0,0.0,0.01787182651809874,5
3,0,0,0,0,0,0,0,0,1,0,0.0,0.017966031033404994,5
4,0,0,0,1,0,0,0,0,0,0,0.0,0.018699244410497348,4
5,0,0,0,0,1,0,0,0,0,0,0.0,0.018857053426767717,5
6,0,0,0,0,0,0,0,0,0,1,0.0,0.01927382444739363,4
7,0,0,0,0,0,1,0,0,0,0,0.0,0.019670364224664175,2
8,0,0,0,0,0,0,0,1,0,0,0.0,0.02028268799556691,1
9,1,1,0,0,0,0,0,0,0,0,0.0,0.021436843291542804,6
10,1,0,0,0,0,0,0,0,1,0,0.0,0.02166196844495752,1
11,1,0,0,0,0,0,1,0,0,0,0.0,0.02230636673332998,1
12,1,0,0,0,0,1,0,0,0,0,0.0,0.022943613674811708,1
13,1,0,0,0,0,0,0,1,0,0,0.0,0.023415550990719618,1
14,1,0,0,0,1,0,0,0,0,0,0.0,0.023974862691808162,1
15,0,1,0,0,0,0,0,0,1,0,0.0,0.024809456264822016,1
16,0,1,0,1,0,0,0,0,0,0,0.0,0.02643910070407074,1
17,0,0,0,0,1,0,0,0,1,0,0.0,0.02670520463975824,1
18,0,0,0,0,0,0,1,0,0,1,0.0,0.027088555432235026,1
19,0,0,0,1,0,0,0,0,0,1,0.0,0.02760496896805252,1
20,0,0,0,0,0,1,0,0,0,1,0.0,0.027880838046474624,1
