,T12,T186,T187,T216,T229,T238,T262,T38,T81,T96,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,6.7382688169168055e-06,46
1,0,0,0,0,0,0,1,0,0,0,0.0,0.00333906804473274,19
2,0,0,0,1,0,0,0,0,0,0,0.0,0.003339261359298299,4
3,0,0,1,0,0,0,0,0,0,0,0.0,0.0033405671398464513,7
4,1,0,0,0,0,0,0,0,0,0,0.0,0.0033423511843328553,4
5,0,0,0,0,0,1,0,0,0,0,0.0,0.0033498223414663575,1
6,0,0,0,0,0,0,0,0,0,1,0.0,0.0033515490356864678,6
7,0,0,0,0,1,0,0,0,0,0,0.0,0.0033795770759561675,1
8,0,0,0,0,0,0,0,1,0,0,0.0,0.0034840341543826833,9
9,0,0,0,0,0,0,0,0,1,0,0.0,0.00667240768576628,2
10,0,0,1,0,0,0,1,0,0,0,0.0,0.013339873026118564,1
