,T1178,T1196,T1207,T1210,T1242,T1271,T1410,T1442,T1455,T1461,T162,T1640,T190,T395,T456,T471,T553,T755,T846,T907,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.043750740490683934,8
1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.05,0.044792071555227006,5
2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.05,0.045018601489345805,1
3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.05,0.045096539307495825,1
4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.05,0.04522325118012959,2
5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.04473225210359204,1
6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.044792071555227006,4
7,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.044842945259281924,1
8,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.045018601489345805,1
9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.04503946506850699,1
10,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.1,0.04522325118012959,3
11,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.045096539307495825,2
12,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0451744240179116,1
13,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.05,0.04621620900433282,2
14,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.04522325118012959,1
15,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.04535395372623479,2
16,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.04541547617773465,1
17,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.05,0.0454778226644414,1
18,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.04562521636885866,2
19,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.05,0.043750740490683934,1
20,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0.05,0.04645643660396853,1
21,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.05,0.04769721968521369,1
22,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.05,0.04516240239370543,1
23,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.05,0.046876619563427924,1
24,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.05,0.04522325118012959,1
25,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.05,0.046973585559445155,1
26,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.1,0.045018601489345805,1
27,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.04654440003914682,1
28,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.0,0.046623610216550086,1
29,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1,0.045096539307495825,1
30,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.04669755715928791,1
31,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0466989395310669,1
32,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1,0.045096539307495825,1
33,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.046762998331309556,1
34,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.046818692903353755,1
35,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0.0469099183547043,1
36,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.04697257904572329,1
37,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,0.04788017509902515,1
38,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.046985889290546375,1
39,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.1,0.047157222090650146,1
40,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0.04702767642311362,1
41,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,0.0454778226644414,1
42,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.047157222090650146,1
43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.05,0.04808000367379982,1
44,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0.1,0.047371850871401486,1
45,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,0.04725538101089159,1
46,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0.0,0.04727689769731889,1
47,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0.0,0.04730715433187144,1
48,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0.0,0.047371850871401486,1
49,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.05,0.046623610216550086,1
50,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.0,0.047435975452657014,1
51,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.05,0.04503946506850699,1
52,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.05,0.04844307734697297,1
53,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0.047548812758407055,1
54,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.04757766135355551,1
55,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.05,0.04757766135355551,1
56,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.05,0.04621620900433282,1
57,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.05,0.04522325118012959,1
58,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,0.048718885667068425,1
59,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.047920608273510294,1
60,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0.05,0.04727689769731889,1
61,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.04813513407872617,1
62,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.1,0.04522325118012959,1
63,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.05,0.049500744928124715,1
64,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.05,0.0499596147849647,1
65,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.05,0.04522325118012959,1
66,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.0,0.04956680354800622,1
67,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.05,0.047093628091579846,1
68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.05,0.05099723952358737,1
69,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05037795483422447,1
70,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.05,0.049311795606872544,1
71,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.05,0.0517166314459145,1
72,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.05092820316125072,1
73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.1,0.04808000367379982,1
74,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.05,0.04740101464585494,1
75,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.2,0.04522325118012959,1
76,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.15,0.05405518392209868,1
77,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.05,0.0510272208058374,1
78,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,0.046876619563427924,1
