,T1467,T340,T415,T429,T514,T591,T636,T664,T964,T999,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,1,0,0.0,0.020453128660601855,40
1,1,0,0,0,0,0,0,0,0,0,0.0,0.023845026743212906,18
2,0,0,0,0,0,0,0,0,0,0,0.0,0.029501305746483866,6
3,0,0,0,0,0,0,1,0,0,0,0.0,0.03049104378210548,3
4,0,0,0,1,0,0,0,0,0,0,0.0,0.030625985262888174,5
5,0,0,0,0,0,0,0,0,0,1,0.0,0.030773489268722195,1
6,0,0,0,0,0,1,0,0,0,0,0.0,0.03129422881186255,8
7,0,0,0,0,0,0,0,1,0,0,0.0,0.031496155233376906,1
8,0,0,1,0,0,0,0,0,0,0,0.0,0.031805783272654854,2
9,0,1,0,0,0,0,0,0,0,0,0.0,0.03330177658035883,5
10,0,0,0,0,0,0,1,0,1,0,0.0,0.03444239395584291,1
11,0,0,0,1,0,0,0,0,1,0,0.0,0.03460713618413591,1
12,0,0,0,0,0,1,0,0,1,0,0.0,0.03490400393875906,1
13,0,0,0,0,0,0,0,0,1,1,0.0,0.036727859033488304,1
14,1,0,0,0,0,1,0,0,0,0,0.0,0.03683612057773279,2
15,1,0,0,0,0,0,0,1,0,0,0.0,0.037016959761781994,1
16,1,0,0,0,0,0,0,0,0,1,0.0,0.03805901449839471,1
17,0,0,0,0,0,0,0,1,1,0,0.1,0.03506951826112195,1
18,1,0,0,0,0,0,0,0,0,0,0.1,0.023845026743212906,1
19,0,0,1,1,0,1,0,0,0,0,0.0,0.06736574784427143,1
