,index,time,rate
0,101,103195.0632244468,0.0010537407797681
1,102,97837.67088607595,0.0010548523206751
2,104,67680.8646329838,0.0200190657769304
3,105,225282.7291960508,0.0409026798307475
4,106,8647.173674588665,0.0018281535648994
5,107,20570.70802919708,0.0014598540145985
6,109,109029.67936507936,0.001058201058201
7,112,90431.17194092828,0.0010548523206751
8,113,111715.83298097253,0.0010570824524312
9,114,72559.85036880928,0.0010537407797681
10,116,94553.31684210528,0.0010526315789473
11,119,13877.94049008168,0.0011668611435239
12,129,135.26666666666668,0.2666666666666666
13,133,27064.7,0.0733333333333333
14,134,127995.7731629393,0.047923322683706
15,135,3874.633757961784,0.0477707006369426
16,136,376790.1758530184,0.0157480314960629
17,138,124446.14367816092,0.0114942528735632
18,139,36167.99662162162,0.0135135135135135
19,140,908.3387096774194,0.0053763440860215
20,144,350464.2114942529,0.0045977011494252
21,146,148781.44562334218,0.0079575596816976
22,148,174715.75449101796,0.0479041916167664
23,149,112005.52577319588,0.0034364261168384
24,150,3787916.265402844,0.0071090047393364
25,152,130356.1911764706,0.0330882352941176
26,153,152758.131661442,0.0031347962382445
27,155,6035.413580246914,0.0061728395061728
28,156,721772.7945619335,0.0302114803625377
29,161,359.5,0.0675675675675675
30,163,85241.30337078651,0.0067415730337078
31,164,25730.539325842696,0.0599250936329588
32,165,85432.40315315315,0.0067567567567567
33,166,4082.751851851852,0.0037037037037037
34,168,14673.852242744064,0.0026385224274406
35,171,111962.29147982063,0.0089686098654708
36,172,94666.79325842696,0.0089887640449438
37,173,90801.90112359553,0.0134831460674157
38,174,113026.56207674944,0.0045146726862302
39,176,110423.52694610778,0.0149700598802395
40,177,283751.0589812332,0.1072386058981233
41,182,10418.99295774648,0.0035211267605633
42,185,3206.9052631578948,0.0070175438596491
43,186,2298.140410958904,0.0034246575342465
44,187,25363.07385229541,0.0039920159680638
45,188,683693.641434263,0.0039840637450199
46,190,124412.68285714286,0.0028571428571428
47,191,90280.41489361702,0.0053191489361702
48,195,180355.2198275862,0.0086206896551724
49,196,148051.02127659574,0.0026595744680851
50,197,31607.147117296223,0.003976143141153
51,198,50665.288270377736,0.0019880715705765
52,199,40186.28343313373,0.0019960079840319
53,200,37768.64619164619,0.0024570024570024
54,202,1962.0487106017192,0.0429799426934097
55,207,399940.9080675422,0.0037523452157598
56,211,9432.54647887324,0.0084507042253521
57,214,2908.2028169014084,0.0028169014084507
58,215,2265.542372881356,0.0028248587570621
59,219,2435.9886363636365,0.002840909090909
60,221,41390.18709677419,0.0032258064516129
61,224,35965.71467391304,0.0027173913043478
62,225,98102.62763466044,0.0023419203747072
63,226,157359.85547785548,0.0023310023310023
64,227,195354.5710955711,0.0209790209790209
65,228,69043.56712962964,0.0092592592592592
66,229,129161.26605504588,0.0114678899082568
67,231,12598.274021352314,0.0035587188612099
68,232,528672.0360934183,0.0148619957537154
69,233,569318.7409766454,0.0106157112526539
70,237,52997.71597633136,0.0029585798816568
71,242,46563.26233183857,0.0381165919282511
72,244,57693.28099173554,0.0055096418732782
73,246,51808.92582417582,0.0054945054945054
74,247,60555.41193181818,0.0255681818181818
75,249,42842.761235955055,0.0056179775280898
76,250,118265.061971831,0.0028169014084507
77,252,128934.86834733894,0.0028011204481792
78,254,197273.5323943662,0.0084507042253521
79,255,30452.900284900286,0.0028490028490028
80,256,82679.19209039547,0.0112994350282485
81,259,29251.14124293785,0.0028248587570621
82,260,51643.759887005646,0.0028248587570621
83,261,1729.968858131488,0.0034602076124567
84,263,2138.5461538461536,0.0038461538461538
85,267,27565.94661921708,0.0035587188612099
86,269,11702.973837209302,0.002906976744186
87,271,70430.27220630372,0.0143266475644699
88,272,405755.6905444126,0.0028653295128939
89,273,36546.08273381295,0.0035971223021582
90,275,3834.9534246575354,0.0027397260273972
91,276,256204.07958477509,0.0899653979238754
92,277,3428.7513966480446,0.0027932960893854
93,280,5241.880733944954,0.8440366972477065
94,281,4851.172727272728,0.8454545454545455
95,282,31482.00649350649,0.0324675324675324
