,T100,T180,T205,T212,T239,T257,T30,T31,T54,T95,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,1.2464629889028988e-05,49
1,0,0,0,0,0,1,0,0,0,0,0.0,0.0033432949362312975,4
2,0,0,0,0,1,0,0,0,0,0,0.0,0.0033446080860779193,6
3,0,0,0,1,0,0,0,0,0,0,0.0,0.0033447422532720057,7
4,0,0,0,0,0,0,0,0,1,0,0.0,0.0033451621655209707,5
5,1,0,0,0,0,0,0,0,0,0,0.0,0.003436524250719874,8
6,0,0,0,0,0,0,0,0,0,1,0.0,0.0034387571790125407,7
7,0,1,0,0,0,0,0,0,0,0,0.0,0.003903160800700065,4
8,0,0,0,0,0,0,0,1,0,0,0.0,0.005758961392891415,5
9,0,0,1,0,0,0,0,0,0,0,0.0,0.0058505892434825525,1
10,0,0,0,0,0,0,1,0,0,0,0.0,0.006674266941360515,3
11,0,0,0,0,0,0,0,1,0,0,0.1,0.005758961392891415,1
